Name,Points,Position,School
Carter Michalek,0.0,WR/DB,Montezuma
Carter Oberbroeckling,4.0,RB,Edgewood-Colesburg
Carter Rycroft,-0.6,,Fremont-Mills
Carter Seitz,30.9,WR/DB,Kee
Carter Sholtus,1.8,WR/CB,HLV
Carter Smith,2.2,C/DT,Baxter
Chance Christensen,0.0,RB,Riceville
Chance Hoyt,16.6,RB/LB,Iowa Valley
Charlie Schaefer,0.0,QB/S,North Iowa
Chase England,0.0,TE/DL,Lenox
Chase Forey,0.0,WR/LB,Janesville
Chase Klatt,16.0,TE/CB,Calamus-Wheatland
Chase Spieker,63.94,QB/DB,CAM
Chaz Cornelison,0.0,RB/DB,East Union
Chris Hanson,1.3,FB/LB,Central City
Christian Pierce,1.12,QB/S,Rockford
Christian Reinke,0.0,TE/LB,Rockford
Christopher Greif,1.0,LB/FB,Central City
Christopher Lange,6.4,WR,Edgewood-Colesburg
Clay Westphal,4.8,SL/S,West Harrison
Clayton Miller,4.2,QB/CB,WACO
Cody Dorscher,0.0,WR/CB,Griswold
Cody Milks,0.0,QB/LB,Winfield-Mt Union
Cody Samson,7.7,TE/LB,Baxter
Coen Good,0.0,WR/CB,English Valleys
Colby Eskildsen,16.2,TE/DL,Northwood-Kensett
Colby Wallace,26.0,QB/S,Glidden-Ralston
Cole Bethune,4.2,WR/S,West Harrison
Cole Fehr,4.9,RB/LB,West Bend-Mallard
Cole Milks,6.5,RB/S,Winfield-Mt Union
Colin Hartl,9.7,RB/LB,Audubon
Colin Snyder,5.1,RB/LB,Dunkerton
Collin Bower,15.3,TE/DB,CAM
Collin Hoffman,7.9,QB/S,GTRA
Collin Homan,0.0,OL/DL,Remsen St. Mary's
Colton Cox,0.0,RB/DB,Melcher-Dallas
Colton Leichty,10.2,TE/LB,WACO
Conlin Rouse,39.9,RB/LB,Springville
Conner Bowers,0.0,TE/CB,Griswold
Conner Nally,18.3,QB/LB,Bedford
Connor Rahn,1.3,,GMG
Cooper Wierson,-1.0,QB/LB,Collins-Maxwell
Corbin Harris,2.0,WR/S,Rockford
Corbin Jacobs-Jewell,1.1,TE/DE,New London
Corey Breese,0.0,TE/LB,English Valleys
Creyton Ogier,16.8,TE/DE,Lamoni
Cristian Brown,14.2,WR/DB,Dunkerton
Cruz DeJong,12.8,TE/LB,Montezuma
Dakota Heishman,0.0,WR/DB,BGM
Dallas Grove,0.0,RB/DE,St. Edmond
Dallas Smith,0.0,QB/DB,Twin Cedars
Dalton Kitzman,0.9,RB/LB,Lenox
Dalton Martin,0.0,OL/DL,Collins-Maxwell
Dalton Mudderman,39.04,QB/LB,Kee
Dalton Weepie,31.5,TE/LB,Dunkerton
Dane Appleby,21.14,QB/LB,Janesville
Dane Ballou,0.8,QB/LB,Midland
Dane Smith,0.0,RB/DB,Iowa Valley
Dane Strong,21.3,RB/LB,Montezuma
Daniel Britt,7.1,RB/S,Janesville
David Rose,0.0,WR/DB,Montezuma
Dawson Evans,2.3,QB/DB,Lenox
Dawson Konrad,0.2,RB/CB,Southeast Warren
Dawson Smith,28.8,RB/LB,Iowa Valley
Declan DeJong,10.8,TE/DE,Moravia
Degin Dixson,0.0,QB/CB,Mormon Trail
Derek Bartlett,9.9,LB/RB,Stanton
Derek Kressley,0.0,RB/LB,Belle Plaine
Deshon Anderson,0.0,RB/LB,English Valleys
Devin Meyer,11.0,TE/LB,Harris-Lake Park
Devon Ehlers,0.4,TE/LB,Ar-We-Va
Devon Weisskopf,0.0,RB/LB,HLV
Dillon Reed,0.0,WR/DB,Woodbine
Dominic Coleman,0.0,WR/DE,BGM
Dominic Graap,0.0,WR/DB,Lone Tree
Dominic McClain,0.0,WR/DB,St. Edmond
Domonic Garcia,0.0,WR/DB,Lone Tree
Donald Bashor,4.9,RB/LB,Lenox
Drake Axmear,0.0,WR/CB,English Valleys
