Name,Year,Position,Number,School,REC,YDS,TDS
Treyton Travis,SR,WR/CB,#24,Baxter,78,1170,21
Nolan Birdsall,JR,RB/LB,#2,West Harrison/Whiting,46,531,5
Kace Patton,SR,WR/CB,#10,Murray,45,581,7
Landon Blum,FR,WR/DB,#5,Woodbine,43,740,14
Grant Galles,SO,WR/DB,#6,St. Edmond,43,849,13
Jabari Woodbury,SR,,#2,GMG,43,698,6
Devin Meyer,SR,TE/LB,#15,Harris-Lake Park,40,421,5
Wyatt Ragaller,SO,RB/DB,#8,Ar-We-Va,39,534,7
Cade Robinson,JR,WR/CB,#12,Baxter,36,264,2
Isaac Murphy,SR,RB/S,#1,GTRA,36,394,5
Jamison Martin,JR,RB/DB,#11,West Harrison/Whiting,36,508,7
Josef Dvorak,JR,RB/DB,#25,Collins-Maxwell,35,415,3
Garrett Watts,SR,WR/DB,#7,Montezuma,35,654,13
Dominic Coleman,SR,WR/DE,#23,BGM,35,576,10
Callan Messerich,SO,WR/DB,#6,Easton Valley,33,704,9
Cainan Travis,JR,WR/LB,#20,Baxter,32,419,6
Evan Lorenzen,JR,RB/DB,#22,Northwood-Kensett,32,324,2
Dakota Heishman,JR,WR/DB,#8,BGM,32,371,4
Mason Maschmann,SR,RB/LB,#11,BGM,32,371,2
Michael Hensley,JR,RB/LB,#6,Sidney,32,534,7
Carter Seitz,JR,WR/DB,#7,Kee,31,601,12
Jackson Embree,JR,SL/LB,#33,East Mills,31,339,3
Caleb Hemphill,SR,RB/LB,#3,Harris-Lake Park,30,252,3
Cal Heydon,SO,QB/DB,#11,Coon Rapids-Bayard,28,428,9
Dalton Weepie,JR,TE/LB,#33,Dunkerton,28,535,7
Wade Ragaller,JR,RB/LB,#28,Ar-We-Va,27,249,4
Wyatt Throckmorton,SR,WR/LB,#23,Moravia,26,446,11
Brogan Ewing,JR,WR/CB,#10,Southeast Warren,26,260,7
Micah Moores,FR,RB/LB,#9,Woodbine,26,502,9
Aiden Eickert ,SO,WR/LB,#7,Easton Valley,26,441,8
Triton Gwinn,SR,RB/LB,#22,Mormon Trail,25,433,5
Jaxson Schnell,SO,LB/WR,#4,GTRA,25,425,6
Collin Bower,SO,TE/DB,#25,CAM,25,284,6
Rason Grail,SR,WR/DB,#23,East Union,24,335,6
Jed Bielenberg,SR,DE/WR,#15,Siouxland Christian,24,478,1
Lucas Frohwein,SR,TE/DE,#9,Colo-Nesco,24,316,5
Brayden Hepke,SR,WR/DB,#17,BGM,23,246,3
Owen Hammersland,FR,RB/LB,#24,Central Elkader,22,213,3
Jackson McDanel,SR,RB/LB,#30,Moravia,22,472,8
Tate Martin,JR,RB/LB,#33,BGM,22,239,7
Caleb Haack,JR,WR/DB,#7,Iowa Valley,21,481,5
Rider Kupka,SO,,#21,GMG,21,203,3
Cruz DeJong,SR,TE/LB,#40,Montezuma,20,210,4
Drew Lappe,SR,WR/CB,#5,Bishop Garrigan,20,191,4
Jack Gordon,SR,WR/DL,#18,East Mills,19,316,6
Marshawn Taylor,SR,RB/CB,#12,Rockford,19,141,0
Declan DeJong,SO,TE/DE,#41,Moravia,19,362,6
Keaton Harpenau,JR,SL/DB,#2,Remsen St. Mary's,19,166,2
Trevor Forey,SR,WR/S,#6,Janesville,19,244,7
Kaleb Gill,SR,,#1,GMG,19,274,2
Jackson Schulte,SR,RB/LB,#21,Kee,18,389,4
Conner Bowers,JR,TE/CB,#21,Griswold,18,250,1
Chase Klatt,SO,TE/CB,#4,Calamus-Wheatland,18,266,2
Hudson Clark,SO,WR/DB,#3,Gladbrook-Reinbeck,18,321,5
Braxton Bormann,SO,RB/LB,#21,Central Elkader,18,139,1
Jack Follmann,SR,TE/LB,#40,CAM,18,316,5
Kaden Kobliska,SR,WR,#8,Riceville,18,266,6
Lane Oswalt,SR,WR/DB,#87,Collins-Maxwell,17,181,2
Colby Eskildsen,JR,TE/DL,#12,Northwood-Kensett,17,159,5
Hayden Loftsgard,JR,WR/CB,#2,Tripoli,17,115,0
Cam Buffington,SR,QB/LB,#33,Winfield-Mt Union,17,516,10
Jeremiah Marquette,SR,RB/LB,#25,Waterloo Christian,17,209,1
Matt Sauer,SR,TE/DE,#82,Midland,16,163,3
Holden Roberts,SO,TE/DE,#13,Twin Cedars,16,214,2
Reed Oswalt,SO,WR/DB,#24,Collins-Maxwell,16,252,1
Colton Leichty,SR,TE/LB,#23,WACO,16,170,3
Devon Ehlers,SO,TE/LB,#88,Ar-We-Va,16,135,1
Harley Molina,SR,WR/LB,#24,Ar-We-Va,16,165,2
Kolt Payne,JR,SL/CB,#24,Sidney,16,351,4
James Bell,SR,WR/DB,#21,Waterloo Christian,16,254,5
Cael Weisskopf,FR,RB/LB,#5,HLV,15,189,4
Cash Emgarten,SR,WR/DB,#10,Exira-EHK,15,217,3
Kolby Culbertson,SR,TE/DB,#2,Coon Rapids-Bayard,15,151,1
Drew Eilers,JR,WR/DL,#2,Gladbrook-Reinbeck,15,261,7
Emmett Burke,SO,WR/DB,#10,Lone Tree,15,231,2
Jeremiah Lynam,SR,DB/WR,#9,Siouxland Christian,15,183,2
Anthony Eisele,SR,OL/DL,#55,North Iowa,15,195,6
Broox Stockman,SO,RB/LB,#20,Montezuma,15,160,4
Alex Tiedemann,SO,QB/DB,#34,Northwood-Kensett,15,82,2
Brenner Sullivan,SO,RB/LB,#22,Woodbine,15,250,1
Leo Ehn,SR,TE/LB,#80,St. Edmond,15,376,3
Austin Christensen,SO,WR/LB,#81,Audubon,15,119,0
Braedon Godfread,JR,TE/S,#10,Sidney,15,267,4
Dylan Linkenhoker,SR,,#21,Fremont-Mills,14,217,2
Brenden Connett,SR,RB/LB,#20,Twin Cedars,14,145,1
Zane Johnson,JR,RB/LB,#7,Griswold,14,168,3
Luke Cripps,SR,QB/S,#1,Boyer Valley,14,156,2
Collin Homan,JR,OL/DL,#55,Remsen St. Mary's,14,251,3
Mason Hoy,SO,RB/CB,#9,Springville,14,104,1
Aiden Klostermann,SR,RB/S,#10,Central City,13,247,5
Seth Bixler,SR,WR/S,#1,Midland,13,130,1
Alex Hansen,JR,RB/LB,#22,Exira-EHK,13,263,3
Cristian Brown,SR,WR/DB,#47,Dunkerton,13,273,7
Bram Bielenberg,FR,RB/LB,#35,Siouxland Christian,13,156,1
Braden Simington,SR,S/WR,#2,GTRA,13,152,1
Cale Westerbeck,SO,WR/DB,#4,New London,13,278,2
Oliver Schmitt,SR,FB,#22,Turkey Valley,12,164,5
Nolan Cushion,SR,TE/DE,#22,West Central,12,161,0
Louden Huisenga,JR,RB/LB,#8,WACO,12,144,4
Robert Beardsley,JR,WR/DB,#18,Southeast Warren,12,261,4
Justin Bauer,SR,WR/CB,#12,Bishop Garrigan,12,224,2
Sam Plathe,SR,WR/CB,#24,Bishop Garrigan,12,285,6
Kelan Stevenson,SO,TE/LB,#62,Lamoni,12,159,1
Landon Wittrock,JR,SL/LB,#9,Harris-Lake Park,12,247,4
James Buhlman,FR,RB/LB,#27,Easton Valley,12,188,2
Talan Driscoll,FR,RB/LB,#8,Easton Valley,12,32,2
Austin Lack,SR,WR/DB,#3,East Union,11,139,2
Kael Cress,JR,WR/S,#7,Midland,11,219,4
Tyler Ballard,SR,TE/DE,#22,HLV,11,151,1
Sam DeMeulenaere,JR,E/LB,#12,Belle Plaine,11,236,3
Simon Showalter,JR,RB/LB,#6,Stanton/Essex,11,110,0
Austin Boege,SO,RB/LB,#22,Collins-Maxwell,11,159,0
Trey Fisher,JR,RB/LB,#89,Southeast Warren,11,100,0
Braxton Kniep,JR,WR/DE,#18,Remsen St. Mary's,11,209,3
McKoy Nuss,SO,QB/LB,#13,Tripoli,11,115,2
Ty Christensen,SO,,#5,Don Bosco,11,96,1
Andrew Beran,JR,RB,#2,Riceville,11,102,1
Evan Alt,SR,RB/LB,#4,Audubon,11,52,0
Edward Miller,SR,TE/DE,#31,Audubon,11,223,2
Clay Westphal,SO,SL/S,#8,West Harrison/Whiting,11,162,3
Gavin DeFord,JR,RB/LB,#44,Waterloo Christian,11,186,4
Mitch Stevens,SR,TE/LB,#37,West Bend-Mallard,10,314,3
Jordan Cota,JR,TE/DE,#81,Kee,10,157,3
Keyden Lown,JR,TE/DE,#84,English Valleys,10,129,5
Gio Cruz,SR,RB/DB,#5,Lenox,10,145,2
JW Linkenhoker,SO,,#11,Fremont-Mills,10,140,4
Lucas Madison,SR,,#5,Fremont-Mills,10,148,2
Mason Steinhoff,SO,RB/LB,#11,Griswold,10,133,1
Jacob Martin,JR,RB/LB,#3,Stanton/Essex,10,266,4
J.D. Kruse,SO,RB/DE,#2,Turkey Valley,10,277,5
Jack Scherf,JR,WR/DB,#23,Central Elkader,10,126,1
Charlie Schaefer,SR,QB/S,#6,North Iowa,10,310,4
Brekken Schlader,SO,TE/LB,#14,Rockford,10,69,0
Collin Hoffman,SR,QB/S,#14,GTRA,10,120,1
Abram Edwards,SR,TE/DE,#84,Winfield-Mt Union,10,145,2
Ben Belew,JR,,#3,Don Bosco,10,197,3
Johnathan Riesselman,SO,WR/DB,#7,Ar-We-Va,10,226,3
Conlin Rouse,SO,RB/LB,#11,Springville,10,189,3
Bennett Steger,SR,WR,#14,Edgewood-Colesburg,10,154,1
Logan Franklin,SO,WR/DB,#7,New London,10,133,2
Donald Bashor,SR,RB/LB,#44,Lenox,9,261,7
Braxton Blackburn,SR,,#10,Fremont-Mills,9,63,0
Cody Dorscher,JR,WR/CB,#24,Griswold,9,119,1
Emmett Snyder,SR,RB/S,#29,Glidden-Ralston,9,88,2
Luke Erselius,SO,WR/DB,#15,Montezuma,9,55,1
Christian Reinke,JR,TE/LB,#25,Rockford,9,64,0
Trenton Struss,SR,RB/S,#21,Newell-Fonda,9,130,1
Carter Loyd,SR,RB/S,#2,Winfield-Mt Union,9,191,3
Dawson Smith,SR,RB/LB,#20,Iowa Valley,9,69,0
Ian Smith,JR,TE/LB,#5,Iowa Valley,9,97,3
Jakob Koopman,SO,SL/LB,#8,St. Edmond,9,124,1
Landon Lindgren,SO,RB/DB,#11,Lamoni,9,89,1
Michael Raines,SR,TE/LB,#26,New London,9,92,1
Justin Weispfenning,JR,RB/DB,#3,Easton Valley,9,75,1
Wyatt Christiansen,SO,RB/LB,#10,Midland,8,38,0
Bryce Brabham,SO,RB/DB,#9,Exira-EHK,8,146,2
Stadan Vansice,SO,WR/LB,#5,Baxter,8,93,0
Samuel Dascher,SO,TE/CB,#31,Calamus-Wheatland,8,118,2
Layne Mastin,SR,OG/DE,#11,East Mills,8,72,0
Levi Reineke,SO,LB/RB,#29,Boyer Valley,8,63,0
Caleb Kurtenbach,SR,QB,#5,Turkey Valley,8,128,3
Maddox Jondle,JR,QB/LB,#11,Lone Tree,8,136,2
Trent Robertson,SR,WR/LB,#5,North Iowa,8,148,2
Brett Plants,JR,RB/LB,#22,Montezuma,8,110,1
David Rose,JR,WR/DB,#5,Montezuma,8,88,1
Kolton Robinson,SO,RB/DB,#23,Northwood-Kensett,8,61,1
Jacob Morey,SR,OL/DL,#11,Tripoli,8,176,4
Cole Milks,SR,RB/S,#11,Winfield-Mt Union,8,106,1
Dillon Reed,SO,WR/DB,#11,Woodbine,8,139,3
Cal Pryor,FR,QB/DB,#12,Woodbine,8,75,1
Klay Baker,JR,RB/LB,#17,St. Edmond,8,188,3
Christopher Lange,SO,WR,#10,Edgewood-Colesburg,8,127,0
Cole Bethune,JR,WR/S,#4,West Harrison/Whiting,8,118,0
Carter Sholtus,SR,WR/CB,#2,HLV,7,128,4
Kaleb Drape,SR,WR/LB,#6,Kee,7,92,2
Cody Samson,SR,TE/LB,#36,Baxter,7,47,1
