Name,Points,Position,School
Ryan Bower,11.1,WR/S,CAM
Ryan Heaton,0.0,FB/DE,Melcher-Dallas
Ryker Hoffman,0.0,WR/CB,Rockford
Rylan Behrends,0.0,RB/LB,Sidney
Sam DeMeulenaere,0.0,E/LB,Belle Plaine
Sam Fettkether,0.0,OL/LB,Central Elkader
Sam Hoodjer,0.0,WR/CB,Clarksville
Sam Myer,0.0,LB/RB,St. Edmond
Sam Plathe,0.0,WR/CB,Bishop Garrigan
Sam Schmillen,0.0,WR/LB,Remsen St. Mary's
Samuel Dascher,0.0,TE/CB,Calamus-Wheatland
Sawyer Forney,4.9,,Fremont-Mills
Sawyer House,0.0,WR/CB,Midland
Sean McCulloch,0.0,QB/DB,HLV
Seth Bell,0.0,QB/DB,Collins-Maxwell
Seth Bixler,0.0,WR/S,Midland
Seth Hudson,0.0,QB/S,East Union
Seth McMurry,0.0,TE/LB,Murray
Shane Helmick,24.22,QB/DE,Moravia
Sheldon Vandenberg,0.0,OG/LB,East Mills
Silas Walston,34.7,RB/DE,Bedford
Simon Showalter,16.9,RB/LB,Stanton/Essex Vikings
Slate Witte,0.0,,GMG
Spencer Munk,0.0,RB/LB,Woodbine
Stadan Vansice,0.0,WR/LB,Baxter
Talan Driscoll,0.0,RB/LB,Easton Valley
Talan Jacobsen,0.0,QB/LB,North Iowa
Talan Pletz,0.0,RB/LB,Janesville
Tanner Troendle,0.0,RB/DB,Kee
Tate Foertsch,0.0,QB/DB,Bishop Garrigan
Tate Martin,22.5,RB/LB,BGM
Tate Mount,0.0,QB/DB,Sidney
Tayler Kibbee,0.0,RB/LB,Janesville
Tayson Samuels,1.2,RB/DB,Winfield-Mt Union
Teagan Hanson,0.0,QB/S,GTRA
Terrian Islas,0.0,TE/DE,East Union
Titus Barber,0.0,OG/DE,Murray
Travis Luitjens,0.0,OG/DT,Harris-Lake Park
Travis Noel,0.0,DE/RB,Lamoni
Trayton Cink,0.0,RB/LB,Bishop Garrigan
Trent Robertson,0.0,WR/LB,North Iowa
Trenton Beard,0.0,OL/LB,Colo-Nesco
Trenton Rodas,5.3,TE/DE,West Central
Trenton Struss,0.0,RB/S,Newell-Fonda
Trevor Forey,0.0,WR/S,Janesville
Trevor Tauber,0.0,QB/S,Newell-Fonda
Trey Cota,0.0,QB/LB,Kee
Trey Edeker,0.0,RB/DE,WACO
Trey Fisher,18.6,RB/LB,Southeast Warren
Trey Rosenbeck,0.0,TE/LB,Coon Rapids-Bayard
Treyton Franzen,0.0,FB/LB,Turkey Valley
Treyton Travis,0.0,WR/CB,Baxter
Treyvon Herron,0.0,WR/DB,Gladbrook-Reinbeck
Tristan Freiberg,0.0,WR/CB,Tripoli
Tristen Burkhart,0.0,RB/LB,Boyer Valley
Triton Gwinn,0.0,RB/LB,Mormon Trail
Trypp Roszell,0.0,WR/DB,Gladbrook-Reinbeck
Tucker Wright,0.0,RB/DB,BGM
Tucker Youngblut,0.0,,Don Bosco
Ty Alcott,0.0,RB/DB,Belle Plaine
Ty Christensen,0.0,,Don Bosco
Ty Flathers,0.0,RB/DB,CAM
Ty Lindquist,0.0,FB/LB,Dunkerton
Ty Tauber,0.0,OT/LB,Newell-Fonda
Tyler Ballard,0.0,TE/DE,HLV
Tyler Rodgers,0.0,WR/CB,Mormon Trail
Tyler Rogers,0.0,LB/RB,WACO
Urijah Courter,0.0,RB/DB,Collins-Maxwell
Wade Ragaller,0.0,RB/LB,Ar-We-Va
Wade Sankot,0.0,RB/LB,Belle Plaine
Waylon Hein,0.0,TE/LB,Glidden-Ralston
Weston Toft,0.0,OL/DL,Ar-We-Va
Wiatt Schulte,0.0,DL/OL,Boyer Valley
Will Felper,0.0,SL,Riceville
William Kok,0.0,WR/DB,Moravia
Wyatt Christiansen,0.0,RB/LB,Midland
Wyatt Kelley,0.0,RB/LB,East Union
Wyatt Leonard,0.0,RB/LB,Lenox
Wyatt Nelson,0.3,RB/DB,West Central
Wyatt Oswald,0.0,QB/LB,Coon Rapids-Bayard
Wyatt Patton,0.0,OG/LB,Murray
Wyatt Ragaller,0.0,RB/DB,Ar-We-Va
Wyatt Roberts,3.6,TE/DB,Stanton/Essex Vikings
Wyatt Silk,0.0,WR/CB,Griswold
Wyatt Throckmorton,10.8,WR/LB,Moravia
Zach Goetzinger,0.0,RB/DB,Kee
Zach Thornburg,0.0,QB/CB,East Mills
Zane Johnson,0.0,RB/LB,Griswold
